V1	V2	V3	V4
CXD-9	Q-14	8056	0.0637413108242304
CXD-9	Q-19	7402	0.0609294785193191
CXD-9	Q-20	4875	0.0595897435897436
CXD-9	Q-30	8632	0.0669601482854495
CXD-9	Q-6	8811	0.0670752468505278
CXD-9	H-22	526	0.0408745247148289
CXD-9	H-25	722	0.0512465373961219
CXD-9	H-26	550	0.0490909090909091
CXD-9	HDC-3	630	0.0626984126984127
CXD-9	HDC-4	628	0.0501592356687898
CXD-9	HM2	1914	0.163009404388715
CXD-9	HM3	2319	0.169900819318672
CXD-9	HM4	2013	0.165673124689518
CXD-9	HM5	3548	0.171786922209696
CXD-9	HM6	3602	0.170460855080511
D10	D20	1506	0.0687250996015936
D10	D22	9828	0.0756512006512007
D10	JJ0030	37599	0.101146307082635
D10	JJC44	37700	0.100981432360743
D10	108	26386	0.0798908512089745
D10	JJ-109	26994	0.0815366377713566
D10	JJ-35	24481	0.075670928475144
D10	JJ-71	30168	0.0836648103951207
D10	JJ-92	13436	0.0695891634415004
D10	JJ-103	35020	0.0929754426042262
D10	JJ-52	35831	0.0943596327202702
D10	JJ-97	36052	0.0953067790968601
D10	JJC-73	32987	0.0899293661139237
D10	117	7499	0.059941325510068
D10	LCG09-2	6248	0.0566581306017926
D10	LCG09-3	6379	0.0603542875058787
D10	LCG09-4	6168	0.0589332036316472
D10	LCG09-5	6061	0.0622834515756476
D10	XH-13	22934	0.0758044824278364
D10	XHDC-2	24689	0.0763092875369598
D10	XHDC-5	11772	0.071313285762827
D10	XHDC-6	19145	0.0742230347349177
D10	XHDC-7	21933	0.0760953813887749
D10	FQ-10	9505	0.0634928984744871
D10	FQ-14	6327	0.0647226173541963
D10	FQ-26	13640	0.0654692082111437
D10	FQ-27	12412	0.0649371575894296
D10	FQ-6	11818	0.0674818074124217
D10	26	22844	0.0768035370337944
D10	27	22098	0.0747126436781609
D10	28	28918	0.0808492980150771
D10	31	30291	0.084331979795979
D10	CX-29	26819	0.0792908012975875
D10	DF-5	11724	0.0710081883316274
D10	DFDC-11	29684	0.0836309122759736
D10	DFDC-13	25210	0.0802856009520032
D10	DFDC-14	28109	0.0810594471521577
D10	DFDC-19	28123	0.0833303701596558
D10	Q-14	21656	0.0749214998152937
D10	Q-19	19124	0.0723959422714913
D10	Q-20	10287	0.066880528822786
D10	Q-30	24390	0.0774087740877409
D10	Q-6	25018	0.0773443120952914
D10	H-22	642	0.0459501557632399
D10	H-25	887	0.0659526493799324
D10	H-26	670	0.0574626865671642
D10	HDC-3	789	0.0595690747782003
D10	HDC-4	784	0.0586734693877551
D10	HM2	3579	0.1682034087734
D10	HM3	4360	0.179357798165138
D10	HM4	3744	0.186832264957265
D10	HM5	7152	0.187430089485459
D10	HM6	7292	0.184722984092156
D20	D22	834	0.0611510791366906
D20	JJ0030	1697	0.0742486741308191
D20	JJC44	1720	0.0651162790697674
D20	108	1476	0.0701219512195122
D20	JJ-109	1492	0.0633378016085791
D20	JJ-35	1376	0.0686773255813953
D20	JJ-71	1579	0.0702976567447752
D20	JJ-92	929	0.0538213132400431
D20	JJ-103	1675	0.0805970149253731
D20	JJ-52	1695	0.0784660766961652
D20	JJ-97	1697	0.0771950500883913
D20	JJC-73	1635	0.072782874617737
D20	117	728	0.0556318681318681
D20	LCG09-2	599	0.0467445742904841
D20	LCG09-3	649	0.0539291217257319
D20	LCG09-4	622	0.0602893890675241
D20	LCG09-5	603	0.0505804311774461
D20	XH-13	1360	0.0658088235294118
D20	XHDC-2	1414	0.0664780763790665
D20	XHDC-5	812	0.0486453201970443
D20	XHDC-6	1181	0.0707027942421677
D20	XHDC-7	1324	0.0672205438066465
